Text,Label
immer min maa mit em vatter vergliche de,ZH
das mues ich säge aber mir hend,LU
därartigi het natürlig ineren organisazion gänded ned,BS
schtei und bei gfroore e moondschiinnacht,BE
deet si jä,BS
si glaubi irgendwie nüm an e gerächtikait,LU
wen tu dich ainisch echli wotsch sälbschtändig mache,LU
pawell und si frau,BS
hingege in baasel mues i sage,BS
und haa seer gäärn das gsee si das isch mir alles ìsch mir z guet choo,BS
so iiglageret woorde sigi,BE
relewant gnoo und,ZH
das isch eifach ei akzioon,BE
i dem alte huus das ìsch,LU
nünzähundertzwaiedrissg also do bin i us berliin zrugg kho,BS
s sind immer choo jò,LU
jaa ich ha patriootischi gfüül ghaa,ZH
han i gschlofen im,LU
mit em poschtòüto doo oder wass si dùe gha hend esone sone buss eppis,LU
trüühùndert sägmer so,BE
eso schusschnäisen und so wiiter hät mer äifach hindernis,ZH
mitere mit em urloubsgsuech iigrükt,BE
ùnd er het au verzelt das si scheff,LU
doggtervatter,BS
also mues doch no en iischränkig mache,ZH
heimer dem polizischt daas gseit de de het er gseit das ìsch auso scho e gemeinheit,BE
aber mììr hend also vo dem nüüt gwǜsst mer het das praktisch nüüt gwǜsst vo dem,LU
es groosses fluugbetting gsii gloub uf em bäupmoos usse,BE
s mueti mit mit,BE
ìmmer zuenis choo,BE
ìsch nattüürli öppis anders das ìsch er ìsch jò seer e manuel begaabt,LU
aber flaischmärkli wàr z vil märkli ghaa het het die abggää,LU
und so chliins tischli inschtaliirt für z ässe druf,BE
khönti emòl ufträtte nìt,BS
infanteriizuug us em vierzgi manschaftsliischte,ZH
händ si gjagt wie me wi en hund hase jage tuet,ZH
wo pättlet hed oder so he,BS
isch isch das bewusstsii choo da passiirt öppis,BE
das,ZH
oder ziitigspapiir ìsch deete zum tail au mangelwaar gsii,LU
samligsoort hirschegrabeschuelhuus züri,ZH
ds mueti ìsch nie ane so mitmer äne choo,BE
nach schtalingraad,ZH
absoluut integriert woorden i,ZH
und de hesch d sunne isch,BE
a dene a die maschinen anechoo zum hälffe,LU
marggo wo im huus gwont hed,BS
mit däm,ZH
und sind im laufschrit wider i d kantonemänt zruggfüert woorde,ZH
verwurzlet a de forchschtraass drüühundertvieresibezg,ZH
a de a de a a de riigränze,ZH
der äinti där äinti het en wentertur nochäne het er,LU
wo me het chönnen aanää mi het,BE
ussebäärn isch schtiu woorde,BE
häi si dehäim e balkoon won er cha dusse si hani gsäit jä,BS
si hend e konkreti fròg gschtelt,LU
mi bruucht s einisch,BE
die tǜmmer laid die wos us kwaasi,LU
de het mer müesse für di panaane het mer müesse,BE
we sii wie si unrueg sìì,BS
händ die landolts,ZH
voorsichtig luege was für wäter isch,BE
schuelleerer,ZH
wèèr uf zäätuusig franke choo di ganzi hütte und den ìsch die abbroche woorden und das züüg ìsch den verbrent woorde waarschiinlich und mììr häise äu nìd,BS
gläbbrig gsìì ìsch,LU
ùnd de sìnd de uugforderet woorde hälferinne,LU
infanteriikanoone miinewäärffer,BE
vo italjèèner praggtiziirt händ,BS
zum bürgermeischter,BE
u nä sou seit di viir sap der üblech schpruch doo,BE
genau genau,LU
jä si hetti vilicht scho khöne wenn si ned vom schtaalin missbrucht worde wäre,BS
siis riich vergröössere,ZH
sondern fǜr ììn ìsch das,LU
si händ dänn iri frau am seminaar käneglärnt wi isch das gsii,ZH
das äinti mäitli isch,ZH
äär ìsch e e guete seer e guete leerer ggsìì ìsch alerdings do i de rus,LU
liibe muther habt iir,BS
es ìsch immer offe gsìì s ganze schpiu hets mi tünkt,BE
sibeze jaar bini elei gsìì,BE
houptsächlis z bäärn,BE
immerhin auch der herr,BS
an an rii,BS
ja er jaa und,ZH
daa hend si,LU
mee oder weeniger kent,BS
unde het daas echli usegluegt und,BE
jaa s geit na soo,BE
iich han de furier und de fäldwaibel ghaa,LU
das isch dees pro kompanii drüü gweer,BE
ich wän das ich geboore bì,LU
wie mit sogenannte khrischte he,BS
aaber es wäär e schwachi behäupdig gsì wie gsait d bewaffnig,BS
aber do hie,BE
i ha müese cho zäichne i ha nid zit ghaa go luege woni d uuswiis haa,BS
also mi het sicher devoo gredt,BE
ùnd ez mümmer wider warte bìs es wider märkli git,LU
rööschti und und öppis,ZH
liechter lösche e,BE
wenn si usgang hei ghaa das uskuntschaftet,BE
ggupò̃ò̃ hanim scho ggää,BE
isch das gäld gsamlet woorde das me das huus hät chöne boue,ZH
en erinnerig won i won i ha und ich wett scho lang wider uf die album woo die veschwunde send,LU
feschtgschtelt han,ZH
und uusbiudig,BE
mi het oo immer er isch nächer i de ässpee gsii,BE
daa i dr gmeind chöniz da chöint mr na chli i d wäuder ufen und,BE
sii händ vorhär emaal ärwäänt das,ZH
s unsere inschtruggtoore,BS
damit si s nid gsee vo tütsche häär,BE
ìsch ìsch i der simer ufnaam,BE
zäme gsii und äigenlich me hät das nie esoo verplaant esoo,ZH
heit er gmerkt das dr generaal im huus isch,BE
und dernaa han ich halt miesse gaa,LU
seer e gueti schööni hèrrlichi jugendziit verbraacht,ZH
je je i has gfǜu ghaa jez jez was passiirt jez,BE
ebe bizli vorghuusset hän ned woor jo,BS
aber ich han òü vil gflikt fir ander liit und bin òü vil ebe go buze fir ander liit,LU
das bedüütet chrieg und s bürgertum hät uf ali schööne,ZH
das isch dea auserwäälte häisst,ZH
aber ja mi het de,BE
i hät jez doo ebe zù de zù däm theema häti do e ziitigsartiggel,BS
isch seer gschezt woorde wäge dem vo der anderne koomischerwiis,ZH
u näär het me üüs dert la mache,BE
jä mir häi e e baar jǜǜdischi familie ghaa,BS
nach däm bewusste mai,BS
zimli aus schtiugschtange,BE
ainersiits hets natüürlech e huuffe naazifründen au ghaa,LU
damit mer sich chön mäude gröössi mindeschtgröössi,BE
de hani e schträngi zit ghaa de hemmer no zwei zwee zimmer ghaa,LU
dää het nie verzelt vom hittler dää ìsch nur choo,LU
si sind übrigens ä bi de geburt,ZH
döitschland het eine gseit,BE
as si a de front schtönd,LU
scho mitenand ggangen aber nani und na nöd emal händlihebe,ZH
ìch hätti gschtraikt als soldaat,LU
ä khulturbolschewiki gäll ezetera und aber dasch isch luschtig gmaint gsi,BS
e bizli müese ändere scho,BS
d sämpach schtazioon,LU
khunnt aines bikhunnt mi frau aines thages e brief,BS
er chöni nu nööd schriibe momäntaan,ZH
ond wemmer vilicht us der archiv gwüssni sache cha zäme,LU
mi händ d schturmfaane ghaa,ZH
naturalisiirte franzoos aber er het no russischi papiir ghaa,BE
wo das volgg entwigglet,BS
gliiferet über das was är in erfaarig procht het,BS
isch d fäudposcht iikwartiirt gsii,BE
und di isch i schwiizer bsiz gsii und,BE
bin ich seer judomäindid gsii,ZH
und echli churzaarmig het si gsait chum echli uf mii siite du chaschmer echli hälffe,LU
und min brüeder hät säit jawol ich gaan,ZH
realisiirt das es im zwöievierzgi,BE
und äigendlich de gfaar voll bewusst simmer dänn scho im vierzgi gsi,ZH
jò s s ìsch natürch esoo gsìì dass erschtens hèt me,BS
